Name;Full Price;Current Price;Quantity;Category;Subcategory
LINGUINE N°7;0,82;0,49;500 g;Pasta e Riso;Pasta di semola lunga
Barilla - Risoni, Pasta di Semola di Grano Duro, n...;1,25;0,45;500 g;Pasta e Riso;Pastina
Barilla, Emiliane Sorprese n.110 pasta all'uovo;1,29;0,54;275 g;Pasta e Riso;Pastina
Barilla Penne Rigate Senza Glutine;1,85;1,09;400 g;Pasta e Riso;Pastina
Barilla - Emiliane Garganelli,;2,75;1,39;250 g;Pasta e Riso;Pastina
Filini all'Uovo;0,79;0,35;275 g;Pasta e Riso;Pastina
Grattini all'Uovo;0,79;0,35;275 g;Pasta e Riso;Pastina
Tripolini 81;0,59;0,39;500 g;Pasta e Riso;Pastina
Tempestina 15;0,47;0,39;500 g;Pasta e Riso;Pastina
Lumachine 30;0,59;0,39;500 g;Pasta e Riso;Pastina
Corallini 24;0,47;0,39;500 g;Pasta e Riso;Pastina
STELLINE N°59;0,49;0,39;500 g;Pasta e Riso;Pastina
Barilla, Emiliane Sorprese n.110 pasta all'uovo;1,29;0,40;275 g;Pasta e Riso;Pastina
Esselunga, Tripolini n. 57 pasta di semola di gran...;;0,79;500 g;Pasta e Riso;Pastina
Esselunga, Ditalini Rigati n. 133 pasta di semola...;;0,79;500 g;Pasta e Riso;Pastina
Esselunga, Conchigliette n. 40 pasta di semola di...;;0,79;500 g;Pasta e Riso;Pastina
Esselunga, Filini n. 90 pasta di semola di grano d...;;0,45;250 g;Pasta e Riso;Pastina
Esselunga, Corallini n. 71 pasta di semola di gran...;;0,45;250 g;Pasta e Riso;Pastina
Esselunga, Stelline n. 73 pasta di semola di grano...;;0,45;250 g;Pasta e Riso;Pastina
Esselunga, Anellini n. 28 pasta di semola di grano...;;0,45;250 g;Pasta e Riso;Pastina
Esselunga, Acini di Pepe n. 64 pasta di semola di...;;0,45;250 g;Pasta e Riso;Pastina
Esselunga, Semi di Mela n. 26 pasta di semola di g...;;0,45;250 g;Pasta e Riso;Pastina
Barilla - Tempestine, Pasta Di Semola Di Grano Dur...;;1,25;500 g;Pasta e Riso;Pastina
Pastina N.21 Pepe Bucato;;0,75;250 g;Pasta e Riso;Pastina
Farfalline per Minestra;;0,39;500 g;Pasta e Riso;Pastina
Ditalini Rigati per Minestra;;0,39;500 g;Pasta e Riso;Pastina
FILINI PASTINA ALL'UOVO;;0,49;250 g;Pasta e Riso;Pastina
